Date,Description,Type,Amount,Balance
2025-01-01,SALARY CREDIT,Credit,85000,185000
2025-01-02,HOUSE RENT,Debit,18000,167000
2025-01-03,UPI SWIGGY,Debit,420,166580
2025-01-04,UPI ZOMATO,Debit,315,166265
2025-01-05,AMAZON INDIA,Debit,2499,163766
2025-01-06,NETFLIX SUBSCRIPTION,Debit,649,163117
2025-01-07,SPOTIFY PREMIUM,Debit,119,162998
2025-01-08,ELECTRICITY BILL,Debit,2150,160848
2025-01-10,PHONEPE GROCERY,Debit,3250,157598
2025-01-12,SIP MUTUAL FUND,Debit,5000,152598
2025-01-15,FREELANCE PAYMENT,Credit,12000,164598
2025-01-16,UBER TRIP,Debit,280,164318
2025-01-18,FLIPKART,Debit,3999,160319
2025-01-20,RESTAURANT PAYMENT,Debit,1850,158469
2025-01-22,INSURANCE PREMIUM,Debit,3500,154969
2025-01-25,ATM WITHDRAWAL,Debit,5000,149969
2025-01-27,INTEREST CREDIT,Credit,450,150419
2025-02-01,SALARY CREDIT,Credit,85000,235419
2025-02-02,HOUSE RENT,Debit,18000,217419
2025-02-03,UPI SWIGGY,Debit,560,216859
2025-02-05,AMAZON INDIA,Debit,1799,215060
2025-02-07,NETFLIX SUBSCRIPTION,Debit,649,214411
2025-02-08,SPOTIFY PREMIUM,Debit,119,214292
2025-02-10,PHONEPE GROCERY,Debit,4200,210092
2025-02-12,SIP MUTUAL FUND,Debit,5000,205092
2025-02-15,FREELANCE PAYMENT,Credit,15000,220092
2025-02-18,FLIGHT BOOKING,Debit,8500,211592
2025-02-20,HOTEL PAYMENT,Debit,6200,205392
2025-02-22,ELECTRICITY BILL,Debit,2250,203142
2025-02-25,ATM WITHDRAWAL,Debit,3000,200142
