Date,Reference,Description,Amount,Balance
2026-01-01,TXN1,Sample transaction,-2200,247800
2026-01-02,TXN2,Sample transaction,-999,246801
2026-01-03,TXN3,Sample transaction,120000,366801
2026-01-04,TXN4,Sample transaction,-1200,365601
2026-01-05,TXN5,Sample transaction,-350,365251
2026-01-06,TXN6,Sample transaction,-15000,350251
2026-01-07,TXN7,Sample transaction,-15000,335251
2026-01-08,TXN8,Sample transaction,-999,334252
2026-01-09,TXN9,Sample transaction,-4500,329752
2026-01-10,TXN10,Sample transaction,-1200,328552
2026-01-11,TXN11,Sample transaction,85000,413552
2026-01-12,TXN12,Sample transaction,120000,533552
2026-01-13,TXN13,Sample transaction,-4500,529052
2026-01-14,TXN14,Sample transaction,-15000,514052
2026-01-15,TXN15,Sample transaction,-799,513253
2026-01-16,TXN16,Sample transaction,-999,512254
2026-01-17,TXN17,Sample transaction,-799,511455
2026-01-18,TXN18,Sample transaction,120000,631455
2026-01-19,TXN19,Sample transaction,-1200,630255
2026-01-20,TXN20,Sample transaction,-15000,615255
2026-01-21,TXN21,Sample transaction,120000,735255
2026-01-22,TXN22,Sample transaction,-799,734456
2026-01-23,TXN23,Sample transaction,85000,819456
2026-01-24,TXN24,Sample transaction,120000,939456
2026-01-25,TXN25,Sample transaction,-999,938457
2026-01-26,TXN26,Sample transaction,-799,937658
2026-01-27,TXN27,Sample transaction,-4500,933158
2026-01-28,TXN28,Sample transaction,-4500,928658
2026-01-29,TXN29,Sample transaction,-1200,927458
2026-01-30,TXN30,Sample transaction,-999,926459
2026-01-31,TXN31,Sample transaction,120000,1046459
2026-02-01,TXN32,Sample transaction,85000,1131459
2026-02-02,TXN33,Sample transaction,-999,1130460
2026-02-03,TXN34,Sample transaction,120000,1250460
2026-02-04,TXN35,Sample transaction,-799,1249661
2026-02-05,TXN36,Sample transaction,-499,1249162
2026-02-06,TXN37,Sample transaction,-350,1248812
2026-02-07,TXN38,Sample transaction,-999,1247813
2026-02-08,TXN39,Sample transaction,-4500,1243313
2026-02-09,TXN40,Sample transaction,-350,1242963
2026-02-10,TXN41,Sample transaction,-799,1242164
2026-02-11,TXN42,Sample transaction,-15000,1227164
2026-02-12,TXN43,Sample transaction,120000,1347164
2026-02-13,TXN44,Sample transaction,120000,1467164
2026-02-14,TXN45,Sample transaction,-350,1466814
2026-02-15,TXN46,Sample transaction,-799,1466015
2026-02-16,TXN47,Sample transaction,-4500,1461515
2026-02-17,TXN48,Sample transaction,120000,1581515
2026-02-18,TXN49,Sample transaction,-499,1581016
2026-02-19,TXN50,Sample transaction,-4500,1576516
2026-02-20,TXN51,Sample transaction,-999,1575517
2026-02-21,TXN52,Sample transaction,120000,1695517
2026-02-22,TXN53,Sample transaction,-799,1694718
2026-02-23,TXN54,Sample transaction,-2200,1692518
2026-02-24,TXN55,Sample transaction,-799,1691719
2026-02-25,TXN56,Sample transaction,-499,1691220
2026-02-26,TXN57,Sample transaction,-2200,1689020
2026-02-27,TXN58,Sample transaction,-999,1688021
2026-02-28,TXN59,Sample transaction,-2200,1685821
2026-03-01,TXN60,Sample transaction,-799,1685022
